,ret,VaR_GJR_1%,VaR_GJR_5%,VaR_GARCH_1%,VaR_GARCH_5%
2025-02-03,-1.4078476198150665,-1.5396005233252847,-1.088580746287613,-1.8579284433491798,-1.3136557832818565
2025-02-04,0.3608290755662542,-2.252700280486638,-1.5927807995271461,-2.1632317214689434,-1.5295216947988592
2025-02-05,0.3723719130293237,-2.1247897416088297,-1.5023411382253185,-2.0614859292908982,-1.45758192295364
2025-02-06,1.455543035538456,-2.0162971040736792,-1.4256309822170297,-1.9768365842446165,-1.3977302628592314
2025-02-07,-0.5283667789478338,-1.967828478128742,-1.3913610451760123,-2.268807588974148,-1.604169536818653
2025-02-10,0.5709115298107819,-1.9791694929928385,-1.3993797553786775,-2.178803191919568,-1.5405315656498548
2025-02-11,0.5737948689934184,-1.8955075058040038,-1.3402262106310932,-2.111368798747957,-1.492851806561662
2025-02-12,0.4987996105058737,-1.8234316035142661,-1.289264653840729,-2.055191042940954,-1.4531310982255363
2025-02-13,2.0733080831344157,-1.7611844513586965,-1.2452525543894795,-1.9936452062370937,-1.4096148666869293
2025-02-14,-0.4370030186266928,-1.8056842754780926,-1.276716334126923,-2.617171202594685,-1.8504814318519416
2025-02-17,1.256518128548749,-1.8190060087381672,-1.2861355192430564,-2.4652953853690107,-1.7430970240436863
2025-02-18,0.2033634480586327,-1.7931204461997787,-1.267833028071351,-2.5500805762130074,-1.8030447344560943
2025-02-19,-1.8149177577375732,-1.7280737370890038,-1.2218414906078372,-2.3831175596086323,-1.6849928616072425
2025-02-20,-0.5317779624667833,-2.7234793000321127,-1.9256469999922436,-2.7361298673087555,-1.9345916344986196
2025-02-21,-0.1214731131559584,-2.6134282674551588,-1.847834974497737,-2.5817296746193565,-1.8254223568591457
2025-02-24,0.6189164907236869,-2.4439823586059797,-1.728027562694558,-2.4064213994039303,-1.701469935323054
2025-02-25,-0.0698549705803801,-2.2992574279987754,-1.6256992180493233,-2.3154772926622313,-1.637167538638026
2025-02-26,1.6982826817615648,-2.169201381491817,-1.5337425669435034,-2.1737181535304044,-1.5369361687915704
2025-02-27,-1.0727581099725654,-2.1187204631287573,-1.498049830449588,-2.523779347976139,-1.784448345179392
2025-02-28,0.0023903980828001,-2.3704431505296575,-1.6760313696585745,-2.5330872040247208,-1.7910295022589044
2025-03-03,2.606756157845153,-2.2299671975421753,-1.5767072817397836,-2.3646975818854834,-1.6719689422251172
2025-03-04,-3.6077803295197537,-2.2591840409720514,-1.5973651684728756,-3.167917364107724,-2.2398887218806642
2025-03-05,3.3222814565563175,-4.8431948757264855,-3.424400428786276,-4.344409694529566,-3.0717323590120316
2025-03-06,1.4557137129561144,-4.609006234664861,-3.2588164076089314,-4.968744672169902,-3.513170917648832
2025-03-07,-1.7685362402572171,-4.223288670142878,-2.9860932512562055,-4.691812834300899,-3.3173651471447214
2025-03-10,-1.7006378789645302,-4.400135890493589,-3.1111337901438323,-4.548696193665962,-3.2161739503970956
2025-03-11,-1.3000473007488484,-4.498749336240338,-3.1808588238383737,-4.407002063135335,-3.1159885451437517
2025-03-12,1.5449223485616206,-4.3789656634420835,-3.0961652959054495,-4.176470178089638,-2.9529900480244353
2025-03-13,-0.4830290364783129,-4.030306683260911,-2.8496445607567327,-4.0484488915032575,-2.8624720821095466
2025-03-14,1.8426128178967511,-3.7236405280277385,-2.632815021491664,-3.7189775735315433,-2.62951806074862
2025-03-17,0.727116095993639,-3.4811722002483623,-2.461376814498137,-3.776607548876792,-2.67026556675386
2025-03-18,0.971867954776804,-3.2077951195667818,-2.2680844493698555,-3.51460031197062,-2.485012295426012
2025-03-19,-0.3970055943892293,-2.9782833601392507,-2.105807236174457,-3.3368458581132447,-2.359330293436249
2025-03-20,-1.2483530648457055,-2.792854082188674,-1.9746987189215273,-3.086739236869222,-2.182491400307496
2025-03-21,-0.468376359342871,-2.9866466427864893,-2.111720528829023,-3.0530766502341193,-2.1586901329488275
2025-03-24,-0.1705983334626728,-2.8163949892172924,-1.9913434119787579,-2.845443145249799,-2.011882027608641
2025-03-25,1.1188767921674332,-2.618175469668155,-1.8511915029280082,-2.6339908725479124,-1.8623738471847515
